id,country,item,year,yield_kg_ha
318,Japan,Oranges,1983,21232.3
319,Japan,Oranges,1984,20695
320,Japan,Oranges,1985,18585.9
321,Japan,Oranges,1986,20643.4
322,Japan,Oranges,1987,21935.7
323,Japan,Oranges,1988,18731.9
324,Japan,Oranges,1989,19355.1
325,Japan,Oranges,1990,18308.3
326,Japan,Oranges,1991,18027.3
327,Japan,Oranges,1992,19465.3
328,Japan,Oranges,1993,16981.1
329,Japan,Oranges,1994,16431
330,Japan,Oranges,1995,17050
331,Japan,Oranges,1996,16533.3
332,Japan,Oranges,1997,19142.9
333,Japan,Oranges,1998,18787.9
334,Japan,Oranges,1999,18019.5
335,Japan,Oranges,2000,17627.1
336,Japan,Oranges,2001,19085.9
337,Japan,Oranges,2002,18797.7
338,Japan,Oranges,2003,17888.4
339,Japan,Oranges,2004,18508.4
340,Japan,Oranges,2005,16274.5
341,Japan,Oranges,2006,15302.3
342,Japan,Oranges,2007,14942.5
343,Japan,Oranges,2008,14651.2
344,Japan,Oranges,2009,14588.2
345,Japan,Oranges,2010,14269.3
346,Japan,Oranges,2011,13209.7
347,Japan,Oranges,2012,12294.6
348,Japan,Oranges,2013,11725.7
349,Japan,Oranges,2014,11708
350,Japan,Oranges,2015,11505
351,Japan,Oranges,2016,11044.7
352,Japan,Oranges,2017,10660.8
353,Japan,Oranges,2018,10282.2
354,Japan,Oranges,2019,9900.8
355,Malaysia,Bananas,1961,13694
356,Malaysia,Bananas,1962,13777.8
357,Malaysia,Bananas,1963,13666.7
358,Malaysia,Bananas,1964,13807.7
359,Malaysia,Bananas,1965,13740.7
360,Malaysia,Bananas,1966,13621.6
361,Malaysia,Bananas,1967,13693.2
362,Malaysia,Bananas,1968,13595.5
363,Malaysia,Bananas,1969,16574.6
364,Malaysia,Bananas,1970,17333.3
365,Malaysia,Bananas,1971,14777.8
366,Malaysia,Bananas,1972,18636.4
367,Malaysia,Bananas,1973,24375
368,Malaysia,Bananas,1974,20476.2
369,Malaysia,Bananas,1975,21000
370,Malaysia,Bananas,1976,19782.6
371,Malaysia,Bananas,1977,19650.7
372,Malaysia,Bananas,1978,21256
373,Malaysia,Bananas,1979,20454.5
374,Malaysia,Bananas,1980,18993.6
375,Malaysia,Bananas,1981,18323
376,Malaysia,Bananas,1982,19163.3
377,Malaysia,Bananas,1983,23134.1
378,Malaysia,Bananas,1984,19831.3
379,Malaysia,Bananas,1985,20537.3
380,Malaysia,Bananas,1986,21896.8
381,Malaysia,Bananas,1987,17493.2
382,Malaysia,Bananas,1988,17569.7
383,Malaysia,Bananas,1989,17822.8
384,Malaysia,Bananas,1990,17781.7
385,Malaysia,Bananas,1991,17797.2
386,Malaysia,Bananas,1992,17770
387,Malaysia,Bananas,1993,17393.5
388,Malaysia,Bananas,1994,17431.3
389,Malaysia,Bananas,1995,17679.7
390,Malaysia,Bananas,1996,17854.6
391,Malaysia,Bananas,1997,18003.2
392,Malaysia,Bananas,1998,17833.3
393,Malaysia,Bananas,1999,17580.6
394,Malaysia,Bananas,2000,20725.4
395,Malaysia,Bananas,2001,23421.3
396,Malaysia,Bananas,2002,20540.6
397,Malaysia,Bananas,2003,20384.6
398,Malaysia,Bananas,2004,17000
399,Malaysia,Bananas,2005,15000
400,Malaysia,Bananas,2006,15200
401,Malaysia,Bananas,2007,11484.3
402,Malaysia,Bananas,2008,12023.4
403,Malaysia,Bananas,2009,12638.9
404,Malaysia,Bananas,2010,13764.2
405,Malaysia,Bananas,2011,10513.6
406,Malaysia,Bananas,2012,9900.8
407,Malaysia,Bananas,2013,10658.2
408,Malaysia,Bananas,2014,10484.1
409,Malaysia,Bananas,2015,12692.1
410,Malaysia,Bananas,2016,13883
411,Malaysia,Bananas,2017,12715.1
412,Malaysia,Bananas,2018,13665.2
413,Malaysia,Bananas,2019,15107.1
414,Malaysia,Oranges,1961,5000
415,Malaysia,Oranges,1962,5000
416,Malaysia,Oranges,1963,5000
417,Malaysia,Oranges,1964,5000
418,Malaysia,Oranges,1965,4888.9
419,Malaysia,Oranges,1966,5000
420,Malaysia,Oranges,1967,5000
421,Malaysia,Oranges,1968,5000
422,Malaysia,Oranges,1969,4923.1
423,Malaysia,Oranges,1970,5000
424,Malaysia,Oranges,1971,5000
425,Malaysia,Oranges,1972,5000
426,Malaysia,Oranges,1973,4902
